,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q1,2020q2,2020q3
ABB,,,,,,,,,,,
ACB,49.2,33.3,33.7,29.6,30.3,29.2,23.4,22.7,17.8,22.8,22.5
BAB,23.5,22.0,20.6,20.5,20.9,20.5,18.0,18.0,17.4,18.3,17.4
BID,45.0,24.75,34.75,34.4,35.5,32.35,39.4,46.1,30.85,37.9,40.8
BVB,,,,,,,,,,,10.6
CTG,36.2,23.1,27.05,19.3,22.25,20.85,21.15,21.05,17.2,21.55,26.55
EIB,13.9,14.3,14.5,14.05,17.2,18.8,16.5,17.8,14.65,17.8,17.0
HDB,45.6,36.2,39.4,30.3,29.55,26.9,27.7,26.9,17.8,24.8,31.3
KLB,10.0,11.0,10.4,9.6,11.0,10.5,10.1,11.5,10.3,10.4,11.3
LPB,15.2,11.0,10.7,9.2,9.2,7.9,7.5,7.6,5.6,8.2,11.4
MBB,35.8,24.85,23.1,19.45,22.4,21.15,22.8,20.95,13.55,16.6,19.75
MSB,,,,,,,,,,,
NAB,,,,,,,,,,,
NVB,9.7,7.4,9.2,9.5,8.8,8.1,8.4,9.4,7.9,8.5,9.1
OCB,,,,,,,,,,,
PGB,,,,,,,,,,,
SGB,,,,,,,,,,,
SHB,13.1,7.8,9.0,7.2,7.7,6.8,6.6,6.4,12.2,13.0,15.4
SSB,,,,,,,,,,,
STB,15.8,11.1,13.85,11.95,12.4,11.55,10.55,10.1,7.3,10.75,13.8
TCB,,87.9,28.65,25.85,25.55,21.0,23.35,23.45,15.0,19.55,22.6
TPB,,27.0,26.2,19.95,22.6,22.9,22.4,21.1,17.15,20.6,23.45
VBB,,,,,,,14.5,15.8,15.0,13.0,12.3
VCB,74.0,58.1,62.5,53.5,67.8,71.3,82.1,91.0,62.0,80.3,84.1
VIB,40.3,25.8,29.6,17.6,19.2,16.5,18.0,17.5,12.8,17.4,27.7
VPB,68.0,27.7,26.4,19.95,20.25,19.4,22.05,19.8,16.95,20.45,23.75
AAA,23.5,18.25,17.25,14.7,17.3,18.75,15.35,12.6,9.39,12.05,12.15
AAM,10.5,10.8,14.3,13.4,14.8,11.4,11.95,12.8,11.5,10.75,11.6
AAT,,,,,,,,,,,
ABS,,,,,,,,,23.55,11.25,11.55
ABT,36.8,38.5,43.9,40.2,40.0,40.0,35.5,35.5,31.3,31.0,32.7
ACC,20.5,18.0,18.7,21.8,21.7,20.2,19.7,19.4,18.9,17.2,19.1
ACL,8.4,10.0,18.8,30.0,35.5,37.0,33.4,23.15,17.5,21.7,14.15
ADS,16.3,15.75,15.4,14.4,13.4,13.25,10.45,11.65,10.1,9.79,9.01
AGG,,,,,,,,,26.3,27.2,29.45
AGM,9.39,8.61,9.4,10.9,10.4,8.95,10.45,10.15,10.0,12.8,12.7
AMD,,3.52,3.65,2.65,2.25,1.75,1.52,2.02,2.74,3.0,2.6
ANV,23.2,20.3,22.0,28.5,25.9,27.6,26.05,22.8,12.55,16.7,19.15
APC,37.5,27.85,34.5,31.35,29.9,26.8,22.0,20.3,13.0,18.0,20.85
APH,,,,,,,,,,,74.4
ASG,,,,,,,,,,,47.05
ASM,11.35,12.15,12.65,7.8,7.88,7.09,7.48,6.79,3.42,5.4,8.76
ASP,7.6,7.05,6.78,6.2,6.25,6.3,7.55,7.1,4.9,5.4,6.04
AST,79.8,62.5,66.0,69.2,70.5,64.1,66.4,85.2,41.0,49.3,50.6
ATG,2.35,1.7,2.35,1.57,1.49,1.23,,0.68,0.54,0.65,0.67
ATP,,,,,,,,,,,
BBC,86.0,82.0,79.5,69.7,64.0,66.1,62.5,58.5,44.0,48.5,49.0
BCE,6.08,6.25,5.49,5.7,6.75,6.3,6.88,6.9,6.35,7.87,7.66
BCG,6.02,5.85,6.9,5.54,6.06,5.67,8.8,8.07,4.19,6.13,7.99
BCM,25.7,19.5,22.0,24.2,25.8,24.4,31.2,30.0,16.6,26.6,40.5
BFC,34.5,25.8,27.6,25.6,23.8,19.45,14.9,11.7,10.0,11.5,17.0
BHN,128.5,91.5,86.8,81.0,82.5,93.0,73.8,77.3,44.95,52.0,74.3
BMC,13.6,13.3,14.4,13.5,14.05,14.8,15.6,14.0,9.3,11.5,10.95
BMP,71.0,57.5,62.8,52.6,49.7,43.0,51.2,45.55,33.95,51.9,60.9
BRC,9.9,10.1,9.84,9.11,9.75,10.6,10.25,10.3,10.5,10.75,10.5
BTP,11.4,11.45,12.6,11.4,13.1,12.85,12.6,12.2,11.0,14.55,14.2
BTT,36.0,36.75,37.05,33.15,37.0,36.55,37.1,36.15,34.9,35.4,33.5
BWE,25.6,16.35,19.7,24.6,26.0,26.35,26.4,22.95,16.0,23.55,26.5
C32,37.3,25.8,30.9,26.1,29.6,27.4,21.25,22.7,20.2,22.8,26.2
C47,13.5,9.55,15.2,19.5,11.65,12.9,12.55,10.5,7.28,10.25,9.83
CAV,52.3,49.0,58.2,57.0,57.0,51.1,52.2,56.2,58.3,65.8,71.6
CCI,15.2,13.3,12.4,11.65,13.2,15.0,14.6,14.3,12.5,13.4,14.0
CCL,4.21,3.47,3.47,2.99,3.28,6.0,10.0,8.15,3.93,6.72,8.37
CDC,18.5,17.3,17.1,15.0,15.4,16.6,15.3,16.8,13.0,22.3,25.6
CEE,18.0,18.7,17.0,16.9,17.0,16.7,16.5,15.45,17.5,15.9,15.0
CHP,24.25,23.0,22.8,21.1,22.3,22.9,20.5,20.4,17.6,19.05,19.3
CIG,2.45,3.1,4.5,3.55,3.98,2.52,1.65,2.34,1.74,1.98,1.73
CII,30.2,25.6,27.2,26.3,24.8,21.7,22.0,22.6,18.1,18.15,18.05
CKG,,,,,,,,,7.79,10.4,11.15
CLC,34.1,29.4,33.95,34.0,35.45,34.75,32.5,33.0,23.15,26.8,28.8
CLG,3.67,3.1,2.9,2.51,2.58,2.09,1.72,2.73,1.78,1.43,1.18
CLL,30.0,27.6,27.5,24.0,29.4,26.5,28.0,26.5,29.0,27.6,29.1
CLW,19.0,17.1,18.0,17.35,21.6,17.0,22.0,19.7,26.85,23.25,25.0
CMG,31.55,20.8,23.8,24.0,29.65,38.0,37.6,35.2,22.5,31.05,34.7
CMV,23.0,22.0,11.2,17.5,13.15,17.3,10.7,17.95,18.4,13.6,13.2
CMX,4.81,4.7,6.79,15.2,22.15,22.85,23.3,14.7,10.5,14.4,16.35
CNG,28.7,28.5,26.6,26.0,26.7,22.85,23.15,24.4,19.2,20.65,20.6
COM,56.8,55.0,59.8,54.5,56.5,53.5,55.6,47.6,46.3,45.9,47.0
CRC,,,19.5,16.4,19.3,14.7,14.15,13.45,11.15,11.5,12.25
CRE,,,43.0,42.0,26.9,25.3,24.8,24.6,15.0,18.05,22.45
CSM,14.35,13.95,14.8,14.7,15.2,14.7,14.8,13.65,13.9,14.9,15.8
CSV,40.35,31.5,36.75,27.95,31.2,27.9,23.6,21.5,17.7,21.0,27.1
CTD,157.0,148.0,164.8,160.0,141.9,104.7,95.0,52.9,44.95,69.6,69.2
CTF,22.0,17.0,24.5,23.5,23.95,22.3,22.4,23.4,21.85,21.0,21.1
CTI,35.65,28.35,25.6,24.2,25.1,23.35,24.5,22.9,21.2,14.5,14.0
CVT,51.5,25.95,28.0,19.1,25.05,18.65,22.6,20.75,15.0,17.25,19.6
D2D,77.8,68.3,67.4,68.7,104.0,139.7,70.0,79.1,41.8,53.1,73.0
