standard,level,industry,ticker,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q1,2020q2,2020q3
bics,bics_l1,Communications,ABC,60.0,53.0,53.0,24.0,40.0,75.0,28.0,83.0,58.0,61.0,82.0
bics,bics_l1,Communications,BDB,20.0,17.0,81.0,,28.0,16.0,38.0,23.0,61.0,51.0,75.0
bics,bics_l1,Communications,BST,,44.0,21.0,36.0,,21.0,24.0,80.0,51.0,55.0,83.0
bics,bics_l1,Communications,CAB,,,85.0,30.0,80.0,65.0,86.0,63.0,83.0,21.0,43.0
bics,bics_l1,Communications,CMT,54.0,52.0,59.0,60.0,,,,,,,
bics,bics_l1,Communications,DAD,60.0,90.0,55.0,,83.0,80.0,33.0,34.0,48.0,57.0,22.0
bics,bics_l1,Communications,EBS,,,,89.0,39.0,80.0,35.0,,,52.0,22.0
bics,bics_l1,Communications,FOX,77.0,50.0,47.0,81.0,84.0,83.0,74.0,59.0,80.0,28.0,73.0
bics,bics_l1,Communications,KBE,67.0,72.0,45.0,33.0,,,,,,,
bics,bics_l1,Communications,LBE,,84.0,39.0,85.0,16.0,14.0,23.0,85.0,83.0,52.0,
bics,bics_l1,Communications,ONE,69.0,84.0,80.0,26.0,82.0,39.0,,47.0,19.0,46.0,76.0
bics,bics_l1,Communications,QST,61.0,26.0,82.0,82.0,68.0,36.0,72.0,73.0,95.0,31.0,55.0
bics,bics_l1,Communications,SED,59.0,83.0,41.0,21.0,39.0,70.0,64.0,14.0,17.0,36.0,88.0
bics,bics_l1,Communications,SRA,,,,,,89.0,74.0,88.0,63.0,80.0,67.0
bics,bics_l1,Communications,VGI,17.0,36.0,89.0,29.0,60.0,80.0,85.0,37.0,69.0,22.0,17.0
bics,bics_l1,Communications,YEG,86.0,58.0,17.0,82.0,25.0,77.0,84.0,51.0,37.0,81.0,21.0
bics,bics_l1,Consumer Discretionary,ADC,56.0,,,,,,,,,,
bics,bics_l1,Consumer Discretionary,ADS,,37.0,,,80.0,19.0,,,83.0,82.0,57.0
bics,bics_l1,Consumer Discretionary,AFX,49.0,73.0,34.0,85.0,77.0,76.0,24.0,77.0,50.0,19.0,83.0
