standard,level,industry,fs,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q1,2020q2,2020q3
bics,bics_l1,Communications,ABC,100.0,65.0,33.0,58.0,81.0,54.0,55.0,87.0,34.0,100.0,42.0
bics,bics_l1,Communications,BDB,100.0,52.0,41.0,,26.0,43.0,55.0,15.0,66.0,52.0,44.0
bics,bics_l1,Communications,BST,,58.0,31.0,62.0,,21.0,60.0,56.0,100.0,26.0,50.0
bics,bics_l1,Communications,CAB,,,88.0,39.0,71.0,53.0,84.0,17.0,98.0,41.0,89.0
bics,bics_l1,Communications,CMT,100.0,89.0,58.0,83.0,,,,,,,
bics,bics_l1,Communications,DAD,100.0,65.0,38.0,,0.0,51.0,11.0,74.0,100.0,46.0,13.0
bics,bics_l1,Communications,EBS,,,,84.0,100.0,49.0,50.0,,,70.0,28.0
bics,bics_l1,Communications,FOX,100.0,52.0,87.0,52.0,56.0,45.0,80.0,56.0,100.0,65.0,94.0
bics,bics_l1,Communications,KBE,100.0,98.0,55.0,80.0,,,,,,,
bics,bics_l1,Communications,LBE,,66.0,31.0,54.0,100.0,72.0,60.0,89.0,35.0,31.0,
bics,bics_l1,Communications,ONE,100.0,100.0,53.0,100.0,68.0,19.0,,58.0,100.0,90.0,83.0
bics,bics_l1,Communications,QST,98.0,97.0,88.0,26.0,65.0,73.0,86.0,86.0,100.0,57.0,83.0
bics,bics_l1,Communications,SED,0.0,63.0,39.0,100.0,81.0,23.0,59.0,12.0,100.0,90.0,95.0
bics,bics_l1,Communications,SRA,,,,,,100.0,13.0,100.0,100.0,100.0,69.0
bics,bics_l1,Communications,VGI,100.0,86.0,74.0,61.0,66.0,58.0,72.0,18.0,96.0,31.0,68.0
bics,bics_l1,Communications,YEG,100.0,6.0,39.0,47.0,14.0,93.0,52.0,67.0,0.0,77.0,36.0
bics,bics_l1,Consumer Discretionary,ADC,48.0,,,,,,,,,,
bics,bics_l1,Consumer Discretionary,ADS,,54.0,,,86.0,74.0,,,71.0,60.0,63.0
bics,bics_l1,Consumer Discretionary,AFX,43.0,89.0,100.0,44.0,86.0,53.0,76.0,88.0,45.0,56.0,67.0
bics,bics_l1,Consumer Discretionary,AGM,38.0,48.0,64.0,34.0,52.0,55.0,60.0,44.0,52.0,7.0,0.0
bics,bics_l1,Consumer Discretionary,BDG,60.0,82.0,93.0,49.0,40.0,58.0,76.0,36.0,35.0,18.0,1.0
bics,bics_l1,Consumer Discretionary,BED,,72.0,,,,0.0,,,,,
bics,bics_l1,Consumer Discretionary,BTV,,26.0,0.0,49.0,45.0,53.0,43.0,36.0,100.0,84.0,97.0
bics,bics_l1,Consumer Discretionary,CCA,,,,,,,75.0,88.0,68.0,54.0,68.0
