standard,level,industry,ticker,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q1,2020q2,2020q3
bics,bics_l1,Communications,ABC,87.0,83.0,69.0,58.0,100.0,80.0,84.0,82.0,81.0,100.0,96.0
bics,bics_l1,Communications,BDB,45.0,75.0,34.0,,54.0,49.0,56.0,59.0,45.0,52.0,81.0
bics,bics_l1,Communications,BST,,58.0,69.0,66.0,,42.0,91.0,70.0,52.0,29.0,100.0
bics,bics_l1,Communications,CAB,,,16.0,6.0,18.0,15.0,5.0,0.0,20.0,11.0,0.0
bics,bics_l1,Communications,CMT,56.0,42.0,32.0,76.0,,,,,,,
bics,bics_l1,Communications,DAD,49.0,93.0,78.0,,62.0,82.0,70.0,60.0,49.0,82.0,88.0
bics,bics_l1,Communications,EBS,,,,87.0,39.0,74.0,83.0,,,92.0,89.0
bics,bics_l1,Communications,FOX,74.0,54.0,60.0,58.0,88.0,45.0,66.0,65.0,66.0,71.0,57.0
bics,bics_l1,Communications,KBE,49.0,44.0,81.0,49.0,,,,,,,
bics,bics_l1,Communications,LBE,,90.0,100.0,92.0,88.0,71.0,80.0,95.0,67.0,61.0,
bics,bics_l1,Communications,ONE,46.0,47.0,37.0,55.0,73.0,39.0,,61.0,53.0,43.0,36.0
bics,bics_l1,Communications,QST,34.0,27.0,41.0,74.0,35.0,21.0,30.0,60.0,10.0,47.0,7.0
bics,bics_l1,Communications,SED,77.0,84.0,53.0,51.0,89.0,77.0,60.0,39.0,56.0,63.0,89.0
bics,bics_l1,Communications,SRA,,,,,,100.0,88.0,100.0,78.0,59.0,83.0
bics,bics_l1,Communications,VGI,21.0,28.0,21.0,6.0,34.0,34.0,30.0,27.0,49.0,19.0,42.0
bics,bics_l1,Communications,YEG,82.0,76.0,89.0,84.0,55.0,58.0,39.0,57.0,60.0,78.0,75.0
bics,bics_l1,Consumer Discretionary,ADC,98.0,,,,,,,,,,
bics,bics_l1,Consumer Discretionary,ADS,,38.0,,,28.0,31.0,,,9.0,9.0,21.0
bics,bics_l1,Consumer Discretionary,AFX,40.0,56.0,47.0,43.0,40.0,77.0,44.0,47.0,52.0,100.0,69.0
bics,bics_l1,Consumer Discretionary,AGM,68.0,65.0,56.0,68.0,53.0,80.0,62.0,63.0,51.0,59.0,59.0
bics,bics_l1,Consumer Discretionary,BDG,84.0,79.0,49.0,91.0,87.0,100.0,75.0,86.0,89.0,93.0,88.0
bics,bics_l1,Consumer Discretionary,BED,,77.0,,,,100.0,,,,,
bics,bics_l1,Consumer Discretionary,BTV,,67.0,64.0,59.0,55.0,85.0,65.0,82.0,56.0,38.0,49.0
bics,bics_l1,Consumer Discretionary,CCA,,,,,,,31.0,34.0,28.0,27.0,27.0
bics,bics_l1,Consumer Discretionary,CCL,71.0,74.0,58.0,63.0,64.0,49.0,66.0,52.0,73.0,60.0,58.0
bics,bics_l1,Consumer Discretionary,CDG,,,81.0,,,,,,,100.0,100.0
bics,bics_l1,Consumer Discretionary,CMC,45.0,30.0,18.0,46.0,41.0,36.0,38.0,62.0,56.0,33.0,75.0
bics,bics_l1,Consumer Discretionary,CMV,81.0,74.0,64.0,79.0,77.0,93.0,76.0,84.0,72.0,82.0,84.0
bics,bics_l1,Consumer Discretionary,CTC,23.0,27.0,16.0,,29.0,25.0,32.0,31.0,16.0,20.0,0.0
bics,bics_l1,Consumer Discretionary,CTF,56.0,57.0,63.0,95.0,82.0,87.0,59.0,73.0,60.0,63.0,74.0
bics,bics_l1,Consumer Discretionary,CYC,0.0,13.0,,,,,,,,,
bics,bics_l1,Consumer Discretionary,DAH,27.0,26.0,15.0,23.0,35.0,37.0,19.0,40.0,33.0,31.0,0.0
bics,bics_l1,Consumer Discretionary,DGW,59.0,60.0,57.0,47.0,59.0,49.0,75.0,75.0,75.0,87.0,99.0
bics,bics_l1,Consumer Discretionary,DHP,61.0,60.0,51.0,84.0,57.0,87.0,70.0,54.0,69.0,100.0,91.0
bics,bics_l1,Consumer Discretionary,DIC,36.0,37.0,31.0,34.0,38.0,44.0,37.0,33.0,0.0,35.0,
bics,bics_l1,Consumer Discretionary,DLD,32.0,41.0,28.0,,29.0,31.0,28.0,29.0,,,
bics,bics_l1,Consumer Discretionary,DLR,7.0,6.0,0.0,0.0,0.0,0.0,7.0,36.0,30.0,35.0,41.0
bics,bics_l1,Consumer Discretionary,DSP,,,,95.0,100.0,,,,,,
bics,bics_l1,Consumer Discretionary,E29,,,,,30.0,28.0,25.0,41.0,8.0,5.0,0.0
bics,bics_l1,Consumer Discretionary,EIN,26.0,47.0,28.0,41.0,29.0,41.0,43.0,49.0,10.0,39.0,19.0
bics,bics_l1,Consumer Discretionary,EVE,84.0,70.0,73.0,72.0,69.0,79.0,82.0,100.0,69.0,71.0,85.0
bics,bics_l1,Consumer Discretionary,EVG,79.0,78.0,79.0,85.0,82.0,89.0,83.0,98.0,78.0,75.0,75.0
bics,bics_l1,Consumer Discretionary,FTM,31.0,36.0,21.0,22.0,23.0,6.0,21.0,29.0,13.0,0.0,0.0
bics,bics_l1,Consumer Discretionary,GDT,100.0,100.0,97.0,100.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0
bics,bics_l1,Consumer Discretionary,GIL,77.0,60.0,49.0,79.0,61.0,81.0,63.0,91.0,80.0,95.0,84.0
bics,bics_l1,Consumer Discretionary,GMC,46.0,57.0,71.0,53.0,81.0,76.0,69.0,89.0,81.0,48.0,59.0
bics,bics_l1,Consumer Discretionary,GTA,35.0,44.0,31.0,37.0,47.0,47.0,42.0,40.0,56.0,37.0,67.0
bics,bics_l1,Consumer Discretionary,GTT,29.0,43.0,32.0,28.0,27.0,33.0,34.0,19.0,,,
bics,bics_l1,Consumer Discretionary,HAX,41.0,56.0,35.0,48.0,45.0,45.0,45.0,45.0,59.0,65.0,97.0
bics,bics_l1,Consumer Discretionary,HGT,,,,,100.0,100.0,76.0,100.0,66.0,63.0,67.0
bics,bics_l1,Consumer Discretionary,HHS,,,,,,,97.0,,,,
bics,bics_l1,Consumer Discretionary,HID,92.0,82.0,69.0,90.0,71.0,95.0,56.0,100.0,37.0,51.0,36.0
bics,bics_l1,Consumer Discretionary,HLT,,,,,,,13.0,0.0,,,
bics,bics_l1,Consumer Discretionary,HOT,100.0,96.0,100.0,100.0,,,,,82.0,,83.0
bics,bics_l1,Consumer Discretionary,HSM,33.0,26.0,10.0,2.0,9.0,7.0,11.0,14.0,14.0,4.0,1.0
bics,bics_l1,Consumer Discretionary,HTG,44.0,32.0,38.0,36.0,44.0,39.0,49.0,48.0,60.0,9.0,46.0
bics,bics_l1,Consumer Discretionary,HTL,34.0,44.0,36.0,43.0,73.0,49.0,65.0,40.0,52.0,78.0,88.0
bics,bics_l1,Consumer Discretionary,HTM,,,46.0,40.0,53.0,48.0,56.0,94.0,62.0,75.0,77.0
bics,bics_l1,Consumer Discretionary,HU4,21.0,29.0,16.0,25.0,29.0,27.0,26.0,66.0,21.0,42.0,52.0
bics,bics_l1,Consumer Discretionary,HUG,94.0,89.0,87.0,,97.0,100.0,100.0,100.0,78.0,72.0,98.0
bics,bics_l1,Consumer Discretionary,IBC,,71.0,81.0,85.0,79.0,76.0,75.0,68.0,12.0,44.0,68.0
bics,bics_l1,Consumer Discretionary,KDH,100.0,93.0,95.0,100.0,100.0,100.0,100.0,,,,
bics,bics_l1,Consumer Discretionary,KGM,67.0,55.0,47.0,20.0,43.0,45.0,54.0,63.0,57.0,76.0,60.0
bics,bics_l1,Consumer Discretionary,KLF,87.0,86.0,77.0,87.0,89.0,100.0,91.0,92.0,83.0,78.0,81.0
bics,bics_l1,Consumer Discretionary,KMR,38.0,43.0,47.0,32.0,39.0,35.0,41.0,26.0,40.0,22.0,27.0
bics,bics_l1,Consumer Discretionary,KSD,72.0,74.0,74.0,,,,,,,85.0,
bics,bics_l1,Consumer Discretionary,M10,35.0,38.0,32.0,31.0,38.0,39.0,43.0,42.0,48.0,57.0,43.0
bics,bics_l1,Consumer Discretionary,MEG,56.0,59.0,44.0,81.0,79.0,45.0,45.0,51.0,55.0,38.0,56.0
bics,bics_l1,Consumer Discretionary,MHL,39.0,35.0,21.0,34.0,29.0,32.0,38.0,30.0,16.0,60.0,33.0
bics,bics_l1,Consumer Discretionary,MNB,20.0,27.0,19.0,37.0,20.0,14.0,33.0,26.0,11.0,,40.0
bics,bics_l1,Consumer Discretionary,MSH,45.0,64.0,57.0,67.0,75.0,100.0,88.0,81.0,71.0,69.0,60.0
bics,bics_l1,Consumer Discretionary,MWG,81.0,72.0,68.0,67.0,84.0,100.0,75.0,71.0,86.0,82.0,71.0
bics,bics_l1,Consumer Discretionary,NDT,18.0,11.0,18.0,5.0,12.0,0.0,20.0,4.0,0.0,11.0,0.0
bics,bics_l1,Consumer Discretionary,NHT,,100.0,,,,,,,60.0,44.0,71.0
bics,bics_l1,Consumer Discretionary,NTL,,63.0,59.0,,91.0,100.0,,,,93.0,100.0
bics,bics_l1,Consumer Discretionary,NTT,9.0,,0.0,0.0,3.0,3.0,9.0,0.0,0.0,0.0,0.0
bics,bics_l1,Consumer Discretionary,OCH,39.0,41.0,58.0,30.0,35.0,27.0,84.0,30.0,98.0,79.0,60.0
bics,bics_l1,Consumer Discretionary,PAC,42.0,53.0,50.0,45.0,56.0,49.0,51.0,71.0,59.0,55.0,57.0
bics,bics_l1,Consumer Discretionary,PDC,,,,,,,,42.0,,,
bics,bics_l1,Consumer Discretionary,PEG,,,,,41.0,49.0,,37.0,27.0,30.0,14.0
bics,bics_l1,Consumer Discretionary,PET,70.0,59.0,53.0,47.0,56.0,46.0,60.0,58.0,58.0,53.0,75.0
bics,bics_l1,Consumer Discretionary,PGT,,,,,,95.0,,,,84.0,
bics,bics_l1,Consumer Discretionary,PNJ,96.0,77.0,67.0,85.0,98.0,89.0,73.0,89.0,95.0,58.0,73.0
bics,bics_l1,Consumer Discretionary,PPH,32.0,36.0,16.0,17.0,34.0,31.0,33.0,24.0,56.0,53.0,50.0
bics,bics_l1,Consumer Discretionary,PTB,63.0,58.0,47.0,58.0,52.0,76.0,57.0,54.0,53.0,65.0,63.0
bics,bics_l1,Consumer Discretionary,PTV,66.0,70.0,,,,45.0,83.0,100.0,73.0,69.0,62.0
bics,bics_l1,Consumer Discretionary,PVR,,,,,,,35.0,,,27.0,
bics,bics_l1,Consumer Discretionary,PXL,82.0,80.0,64.0,81.0,91.0,49.0,69.0,82.0,83.0,96.0,100.0
bics,bics_l1,Consumer Discretionary,QBS,42.0,46.0,35.0,39.0,42.0,39.0,35.0,35.0,52.0,37.0,12.0
bics,bics_l1,Consumer Discretionary,REE,76.0,77.0,71.0,90.0,84.0,100.0,89.0,86.0,70.0,71.0,70.0
bics,bics_l1,Consumer Discretionary,RIC,70.0,60.0,37.0,100.0,43.0,43.0,76.0,64.0,49.0,36.0,22.0
bics,bics_l1,Consumer Discretionary,SAV,41.0,46.0,39.0,36.0,48.0,49.0,56.0,78.0,69.0,78.0,81.0
bics,bics_l1,Consumer Discretionary,SBV,99.0,91.0,74.0,48.0,68.0,37.0,53.0,100.0,59.0,59.0,59.0
bics,bics_l1,Consumer Discretionary,SDH,27.0,9.0,,,,,,,,,
bics,bics_l1,Consumer Discretionary,SFN,,95.0,,,,,,,,,
bics,bics_l1,Consumer Discretionary,SHI,32.0,36.0,22.0,29.0,29.0,31.0,40.0,33.0,22.0,33.0,28.0
bics,bics_l1,Consumer Discretionary,SHN,64.0,51.0,45.0,41.0,48.0,45.0,50.0,49.0,49.0,95.0,53.0
