standard,level,industry,ticker,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q1,2020q2,2020q3,2020q4
bics,bics_l1,Communications,ABC,49.0,63.0,47.0,49.0,65.0,53.0,66.0,70.0,77.0,76.0,85.0,37.0
bics,bics_l1,Communications,ADG,,,,,,,,,,,,71.0
bics,bics_l1,Communications,BDB,21.0,47.0,31.0,57.0,50.0,49.0,34.0,53.0,47.0,46.0,47.0,36.0
bics,bics_l1,Communications,BST,44.0,34.0,51.0,51.0,55.0,42.0,55.0,56.0,49.0,30.0,86.0,40.0
bics,bics_l1,Communications,CAB,,,19.0,15.0,14.0,17.0,17.0,1.0,23.0,17.0,5.0,10.0
bics,bics_l1,Communications,CMT,37.0,14.0,29.0,62.0,,,,,,,,
bics,bics_l1,Communications,DAD,36.0,59.0,51.0,43.0,51.0,63.0,49.0,56.0,47.0,59.0,80.0,41.0
bics,bics_l1,Communications,EBS,57.0,41.0,60.0,54.0,31.0,53.0,49.0,61.0,52.0,55.0,46.0,58.0
bics,bics_l1,Communications,ECI,77.0,65.0,61.0,69.0,65.0,76.0,57.0,,68.0,73.0,87.0,55.0
bics,bics_l1,Communications,FOC,100.0,91.0,85.0,89.0,81.0,90.0,91.0,100.0,90.0,88.0,100.0,83.0
bics,bics_l1,Communications,FOX,73.0,32.0,56.0,38.0,59.0,38.0,50.0,64.0,58.0,53.0,44.0,34.0
bics,bics_l1,Communications,KBE,39.0,22.0,62.0,45.0,,,,,,,,
bics,bics_l1,Communications,LBE,39.0,61.0,62.0,68.0,61.0,56.0,54.0,80.0,69.0,50.0,89.0,69.0
bics,bics_l1,Communications,ONE,35.0,30.0,43.0,53.0,55.0,45.0,38.0,57.0,54.0,47.0,37.0,33.0
bics,bics_l1,Communications,QST,29.0,7.0,36.0,59.0,28.0,26.0,29.0,63.0,11.0,46.0,14.0,37.0
bics,bics_l1,Communications,SED,69.0,54.0,53.0,46.0,61.0,61.0,34.0,13.0,53.0,48.0,87.0,22.0
bics,bics_l1,Communications,SMN,80.0,54.0,65.0,41.0,40.0,72.0,67.0,50.0,21.0,64.0,94.0,33.0
bics,bics_l1,Communications,SRA,30.0,83.0,100.0,85.0,92.0,70.0,76.0,100.0,74.0,40.0,75.0,39.0
bics,bics_l1,Communications,VGI,11.0,2.0,22.0,14.0,30.0,31.0,29.0,50.0,45.0,17.0,35.0,5.0
bics,bics_l1,Communications,VNB,99.0,72.0,75.0,74.0,82.0,77.0,76.0,77.0,76.0,73.0,100.0,60.0
bics,bics_l1,Communications,YEG,85.0,50.0,60.0,61.0,50.0,45.0,24.0,50.0,60.0,51.0,45.0,13.0
bics,bics_l1,Consumer Discretionary,ADC,83.0,73.0,84.0,80.0,71.0,63.0,80.0,81.0,79.0,69.0,74.0,89.0
bics,bics_l1,Consumer Discretionary,ADS,40.0,34.0,35.0,37.0,25.0,31.0,34.0,44.0,7.0,4.0,14.0,7.0
bics,bics_l1,Consumer Discretionary,AFX,31.0,50.0,44.0,46.0,38.0,51.0,40.0,47.0,44.0,100.0,64.0,68.0
bics,bics_l1,Consumer Discretionary,AGM,55.0,52.0,51.0,57.0,48.0,55.0,55.0,55.0,51.0,62.0,58.0,60.0
bics,bics_l1,Consumer Discretionary,BDG,74.0,65.0,44.0,68.0,65.0,68.0,57.0,69.0,76.0,81.0,71.0,56.0
bics,bics_l1,Consumer Discretionary,BED,68.0,65.0,84.0,100.0,80.0,68.0,81.0,90.0,82.0,68.0,87.0,81.0
bics,bics_l1,Consumer Discretionary,BTT,79.0,75.0,81.0,88.0,79.0,85.0,88.0,83.0,76.0,72.0,71.0,74.0
bics,bics_l1,Consumer Discretionary,BTV,,53.0,53.0,57.0,49.0,56.0,55.0,65.0,51.0,24.0,51.0,57.0
bics,bics_l1,Consumer Discretionary,CCA,,,,,,,27.0,39.0,27.0,24.0,36.0,50.0
bics,bics_l1,Consumer Discretionary,CCL,59.0,58.0,50.0,56.0,53.0,51.0,55.0,52.0,62.0,59.0,55.0,60.0
bics,bics_l1,Consumer Discretionary,CDG,,,69.0,,67.0,48.0,57.0,,71.0,94.0,71.0,
bics,bics_l1,Consumer Discretionary,CMC,38.0,26.0,16.0,48.0,41.0,39.0,37.0,59.0,55.0,31.0,67.0,56.0
bics,bics_l1,Consumer Discretionary,CMV,73.0,66.0,64.0,67.0,64.0,63.0,66.0,70.0,67.0,74.0,71.0,68.0
bics,bics_l1,Consumer Discretionary,CTC,18.0,23.0,14.0,43.0,25.0,23.0,26.0,33.0,12.0,6.0,0.0,14.0
bics,bics_l1,Consumer Discretionary,CTF,56.0,49.0,60.0,77.0,67.0,58.0,56.0,61.0,59.0,64.0,67.0,64.0
bics,bics_l1,Consumer Discretionary,CYC,0.0,11.0,,,,,,,,,,
bics,bics_l1,Consumer Discretionary,DAH,21.0,21.0,13.0,25.0,31.0,40.0,16.0,44.0,29.0,21.0,0.0,
bics,bics_l1,Consumer Discretionary,DGW,53.0,53.0,53.0,52.0,53.0,52.0,61.0,62.0,66.0,73.0,77.0,71.0
bics,bics_l1,Consumer Discretionary,DHP,48.0,49.0,44.0,63.0,48.0,54.0,54.0,49.0,58.0,84.0,72.0,58.0
bics,bics_l1,Consumer Discretionary,DIC,34.0,34.0,29.0,37.0,36.0,42.0,35.0,32.0,0.0,20.0,,
bics,bics_l1,Consumer Discretionary,DLD,31.0,39.0,29.0,,30.0,33.0,25.0,35.0,,,,
bics,bics_l1,Consumer Discretionary,DLR,6.0,3.0,0.0,1.0,3.0,2.0,3.0,43.0,36.0,43.0,51.0,20.0
bics,bics_l1,Consumer Discretionary,DM7,59.0,61.0,54.0,54.0,78.0,58.0,60.0,78.0,84.0,73.0,64.0,61.0
bics,bics_l1,Consumer Discretionary,DSN,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,79.0,100.0,100.0
bics,bics_l1,Consumer Discretionary,DSP,93.0,84.0,90.0,75.0,84.0,80.0,87.0,89.0,83.0,63.0,76.0,65.0
bics,bics_l1,Consumer Discretionary,E29,,,,,27.0,25.0,18.0,42.0,2.0,0.0,0.0,
bics,bics_l1,Consumer Discretionary,EIN,20.0,44.0,25.0,42.0,26.0,42.0,35.0,50.0,9.0,23.0,11.0,
bics,bics_l1,Consumer Discretionary,EVE,62.0,55.0,64.0,63.0,58.0,56.0,67.0,86.0,61.0,67.0,70.0,72.0
bics,bics_l1,Consumer Discretionary,EVG,56.0,61.0,62.0,64.0,59.0,60.0,62.0,68.0,63.0,69.0,66.0,
