ticker,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q1,2020q2,2020q3,2020q4
ABB,42.0,42.0,31.0,32.0,45.0,62.0,41.0,32.0,40.0,32.0,35.0,40.0
ACB,70.0,91.0,82.0,78.0,75.0,80.0,71.0,66.0,60.0,67.0,75.0,78.0
BAB,47.0,59.0,39.0,41.0,59.0,63.0,47.0,52.0,48.0,43.0,40.0,38.0
BID,94.0,74.0,74.0,49.0,84.0,74.0,72.0,59.0,66.0,57.0,71.0,57.0
BVB,85.0,86.0,87.0,57.0,66.0,81.0,69.0,68.0,29.0,31.0,25.0,23.0
CTG,59.0,68.0,77.0,41.0,82.0,75.0,70.0,62.0,64.0,61.0,67.0,60.0
EIB,33.0,48.0,30.0,23.0,23.0,56.0,32.0,32.0,33.0,29.0,37.0,39.0
HDB,48.0,66.0,39.0,46.0,63.0,66.0,59.0,66.0,55.0,66.0,53.0,49.0
KLB,33.0,45.0,34.0,38.0,40.0,39.0,33.0,23.0,27.0,25.0,24.0,17.0
LPB,35.0,34.0,33.0,31.0,45.0,45.0,34.0,25.0,38.0,31.0,37.0,35.0
MBB,86.0,94.0,99.0,87.0,97.0,100.0,88.0,78.0,84.0,86.0,86.0,83.0
MSB,90.0,87.0,95.0,100.0,84.0,100.0,93.0,74.0,65.0,80.0,84.0,78.0
NAB,82.0,34.0,53.0,28.0,43.0,16.0,11.0,11.0,16.0,30.0,19.0,46.0
NVB,80.0,5.0,83.0,80.0,7.0,2.0,21.0,34.0,23.0,32.0,37.0,58.0
OCB,75.0,100.0,66.0,49.0,62.0,70.0,69.0,78.0,78.0,81.0,67.0,90.0
PGB,34.0,46.0,37.0,80.0,53.0,63.0,35.0,59.0,37.0,35.0,39.0,32.0
SGB,44.0,47.0,39.0,47.0,67.0,55.0,65.0,59.0,46.0,45.0,42.0,48.0
SHB,32.0,34.0,31.0,40.0,38.0,56.0,42.0,56.0,35.0,47.0,47.0,62.0
SSB,26.0,35.0,30.0,24.0,23.0,48.0,40.0,64.0,29.0,31.0,37.0,40.0
STB,25.0,49.0,32.0,37.0,50.0,41.0,39.0,35.0,43.0,39.0,41.0,35.0
TCB,100.0,100.0,100.0,100.0,100.0,100.0,98.0,98.0,90.0,97.0,100.0,100.0
TPB,41.0,65.0,44.0,45.0,67.0,74.0,66.0,70.0,59.0,73.0,71.0,71.0
VBB,23.0,17.0,5.0,19.0,20.0,53.0,24.0,12.0,28.0,26.0,17.0,11.0
VCB,78.0,79.0,80.0,100.0,93.0,98.0,84.0,85.0,72.0,83.0,76.0,98.0
VIB,37.0,58.0,45.0,49.0,67.0,72.0,63.0,59.0,54.0,58.0,70.0,63.0
VPB,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,86.0,97.0,98.0,100.0
