standard,level,industry,ticker,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q1,2020q2,2020q3,2020q4
bics,bics_l1,Communications,ABC,86.0,,65.0,73.0,100.0,84.0,,94.0,100.0,100.0,85.0,78.0
bics,bics_l1,Communications,ADG,,,,,,,,,,,,100.0
bics,bics_l1,Communications,BDB,36.0,,,,56.0,60.0,65.0,75.0,62.0,74.0,48.0,91.0
bics,bics_l1,Communications,BM_,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
bics,bics_l1,Communications,BST,70.0,85.0,70.0,75.0,69.0,46.0,100.0,77.0,63.0,45.0,89.0,97.0
bics,bics_l1,Communications,CAB,,,24.0,35.0,31.0,27.0,23.0,13.0,45.0,42.0,22.0,37.0
bics,bics_l1,Communications,CMT,49.0,47.0,45.0,90.0,,,,,,,,
bics,bics_l1,Communications,DAD,53.0,,,,62.0,,76.0,77.0,61.0,100.0,,
bics,bics_l1,Communications,EBS,,,,85.0,37.0,75.0,84.0,,,,,
bics,bics_l1,Communications,FOX,68.0,67.0,49.0,47.0,78.0,47.0,66.0,47.0,81.0,85.0,41.0,70.0
bics,bics_l1,Communications,KBE,59.0,62.0,76.0,47.0,,,,,,,,
bics,bics_l1,Communications,LBE,65.0,,82.0,97.0,80.0,79.0,84.0,100.0,93.0,,,
bics,bics_l1,Communications,ONE,49.0,48.0,49.0,75.0,76.0,68.0,65.0,81.0,77.0,49.0,36.0,57.0
bics,bics_l1,Communications,QST,35.0,44.0,43.0,83.0,42.0,35.0,52.0,64.0,40.0,64.0,25.0,78.0
bics,bics_l1,Communications,SED,71.0,88.0,52.0,46.0,79.0,78.0,59.0,33.0,69.0,46.0,49.0,50.0
bics,bics_l1,Communications,SRA,43.0,,,,,100.0,93.0,100.0,97.0,76.0,44.0,75.0
bics,bics_l1,Communications,VGI,29.0,25.0,22.0,31.0,32.0,28.0,22.0,28.0,47.0,39.0,34.0,34.0
bics,bics_l1,Communications,YEG,78.0,78.0,65.0,82.0,61.0,45.0,42.0,40.0,72.0,80.0,48.0,39.0
bics,bics_l1,Consumer Discretionary,ADS,40.0,48.0,39.0,41.0,36.0,40.0,38.0,46.0,34.0,35.0,35.0,36.0
bics,bics_l1,Consumer Discretionary,AFX,39.0,63.0,54.0,49.0,40.0,100.0,47.0,54.0,55.0,100.0,74.0,84.0
bics,bics_l1,Consumer Discretionary,AGM,92.0,77.0,84.0,96.0,50.0,99.0,83.0,88.0,51.0,82.0,62.0,84.0
bics,bics_l1,Consumer Discretionary,BDG,100.0,92.0,69.0,100.0,100.0,100.0,100.0,100.0,,97.0,92.0,65.0
bics,bics_l1,Consumer Discretionary,BED,81.0,,,,,,,,,,,
bics,bics_l1,Consumer Discretionary,BM_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bics,bics_l1,Consumer Discretionary,BTV,,65.0,72.0,55.0,42.0,75.0,49.0,77.0,49.0,39.0,40.0,39.0
bics,bics_l1,Consumer Discretionary,CCA,,,,,,,28.0,38.0,37.0,31.0,31.0,32.0
bics,bics_l1,Consumer Discretionary,CCL,42.0,74.0,48.0,53.0,72.0,76.0,79.0,49.0,68.0,45.0,48.0,56.0
bics,bics_l1,Consumer Discretionary,CDG,,,94.0,,80.0,49.0,80.0,,80.0,100.0,82.0,
bics,bics_l1,Consumer Discretionary,CMC,37.0,31.0,31.0,47.0,38.0,40.0,34.0,52.0,47.0,34.0,50.0,44.0
