standard,level,industry,ticker,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q1,2020q2,2020q3,2020q4
bics,bics_l1,Communications,ABC,73.0,67.0,54.0,54.0,69.0,57.0,73.0,80.0,96.0,96.0,68.0,66.0
bics,bics_l1,Communications,ADG,,,,,,,,52.0,,,,88.0
bics,bics_l1,Communications,BDB,37.0,62.0,43.0,71.0,54.0,49.0,42.0,50.0,49.0,48.0,47.0,72.0
bics,bics_l1,Communications,BM_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
bics,bics_l1,Communications,BST,53.0,52.0,51.0,47.0,54.0,48.0,62.0,57.0,49.0,45.0,64.0,76.0
bics,bics_l1,Communications,CAB,,,24.0,29.0,31.0,28.0,27.0,24.0,43.0,37.0,25.0,37.0
bics,bics_l1,Communications,CMT,55.0,46.0,40.0,85.0,,,,,,,,
bics,bics_l1,Communications,DAD,56.0,73.0,60.0,47.0,50.0,73.0,58.0,,47.0,71.0,71.0,68.0
bics,bics_l1,Communications,EBS,59.0,53.0,54.0,56.0,42.0,51.0,56.0,63.0,71.0,64.0,49.0,89.0
bics,bics_l1,Communications,ECI,67.0,67.0,62.0,91.0,58.0,72.0,62.0,81.0,76.0,83.0,63.0,86.0
bics,bics_l1,Communications,FOC,91.0,84.0,82.0,100.0,76.0,85.0,82.0,97.0,99.0,100.0,91.0,100.0
bics,bics_l1,Communications,FOX,67.0,46.0,48.0,40.0,56.0,42.0,46.0,49.0,76.0,63.0,44.0,57.0
bics,bics_l1,Communications,HEV,67.0,57.0,55.0,79.0,53.0,60.0,56.0,67.0,79.0,71.0,71.0,78.0
bics,bics_l1,Communications,KBE,51.0,43.0,63.0,41.0,,,,,,,,
bics,bics_l1,Communications,LBE,49.0,66.0,64.0,94.0,56.0,61.0,61.0,76.0,83.0,55.0,75.0,96.0
bics,bics_l1,Communications,ONE,46.0,40.0,41.0,46.0,53.0,45.0,41.0,60.0,60.0,47.0,35.0,59.0
bics,bics_l1,Communications,QST,37.0,32.0,32.0,46.0,36.0,29.0,32.0,49.0,36.0,44.0,27.0,54.0
