ticker,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q1,2020q2,2020q3,2020q4
ABI,100.0,100.0,71.0,75.0,80.0,100.0,100.0,100.0,83.0,100.0,92.0,89.0
AIC,46.0,17.0,,,29.0,42.0,57.0,62.0,51.0,70.0,49.0,51.0
BIC,80.0,71.0,50.0,52.0,50.0,80.0,69.0,68.0,71.0,71.0,63.0,63.0
BLI,77.0,71.0,82.0,51.0,70.0,90.0,96.0,61.0,55.0,84.0,80.0,8.0
BMI,78.0,63.0,40.0,50.0,38.0,76.0,59.0,68.0,53.0,51.0,52.0,11.0
BVH,50.0,50.0,39.0,51.0,38.0,41.0,56.0,55.0,55.0,50.0,62.0,62.0
MIG,14.0,57.0,15.0,52.0,33.0,76.0,37.0,60.0,20.0,32.0,20.0,70.0
PGI,43.0,25.0,28.0,47.0,27.0,36.0,31.0,71.0,30.0,31.0,18.0,14.0
PRE,,,,,,,,,54.0,25.0,27.0,56.0
PTI,31.0,0.0,28.0,4.0,25.0,16.0,11.0,50.0,17.0,12.0,21.0,23.0
PVI,56.0,14.0,49.0,51.0,46.0,82.0,58.0,50.0,21.0,75.0,43.0,57.0
VNR,89.0,80.0,57.0,66.0,56.0,48.0,70.0,100.0,50.0,61.0,79.0,63.0
