ticker,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q1,2020q2,2020q3,2020q4
AAS,60.0,,,,17.0,84.0,29.0,0.0,58.0,56.0,72.0,38.0
AGR,63.0,62.0,65.0,48.0,50.0,49.0,40.0,55.0,48.0,32.0,56.0,27.0
APG,52.0,69.0,73.0,55.0,53.0,38.0,45.0,83.0,39.0,11.0,52.0,53.0
APS,24.0,35.0,11.0,65.0,23.0,,,20.0,60.0,42.0,71.0,88.0
ART,15.0,75.0,59.0,56.0,49.0,63.0,61.0,93.0,61.0,72.0,59.0,47.0
BMS,58.0,53.0,51.0,24.0,72.0,73.0,0.0,66.0,23.0,29.0,2.0,78.0
BSI,59.0,98.0,55.0,28.0,59.0,52.0,73.0,51.0,50.0,64.0,66.0,31.0
BVS,55.0,44.0,44.0,34.0,50.0,53.0,46.0,53.0,33.0,38.0,19.0,38.0
CSI,51.0,54.0,60.0,95.0,59.0,37.0,90.0,68.0,71.0,83.0,68.0,62.0
CTS,65.0,70.0,85.0,59.0,71.0,55.0,57.0,73.0,21.0,79.0,67.0,68.0
DSC,93.0,100.0,61.0,47.0,54.0,53.0,47.0,55.0,64.0,51.0,59.0,58.0
EVS,64.0,0.0,56.0,29.0,20.0,5.0,37.0,14.0,33.0,29.0,23.0,54.0
FTS,58.0,72.0,58.0,100.0,74.0,79.0,40.0,2.0,,59.0,56.0,44.0
HAC,17.0,14.0,74.0,3.0,27.0,13.0,37.0,55.0,26.0,52.0,20.0,43.0
HBS,55.0,57.0,53.0,42.0,53.0,60.0,58.0,66.0,52.0,44.0,54.0,50.0
HCM,99.0,89.0,86.0,86.0,83.0,94.0,74.0,84.0,80.0,65.0,79.0,79.0
HFT,53.0,54.0,58.0,73.0,48.0,49.0,40.0,54.0,49.0,35.0,0.0,0.0
IVS,39.0,50.0,49.0,40.0,54.0,57.0,51.0,56.0,78.0,59.0,61.0,46.0
MBS,77.0,79.0,68.0,47.0,79.0,93.0,88.0,77.0,80.0,73.0,72.0,61.0
ORS,58.0,,66.0,63.0,51.0,78.0,92.0,88.0,92.0,43.0,68.0,31.0
PHS,66.0,69.0,71.0,65.0,65.0,67.0,64.0,73.0,46.0,32.0,50.0,31.0
PSI,3.0,14.0,0.0,18.0,39.0,19.0,30.0,11.0,37.0,11.0,6.0,21.0
SBS,45.0,31.0,22.0,28.0,32.0,33.0,34.0,25.0,40.0,24.0,51.0,34.0
SHS,78.0,79.0,81.0,79.0,75.0,69.0,82.0,70.0,90.0,77.0,75.0,78.0
SSI,90.0,100.0,100.0,100.0,90.0,99.0,100.0,100.0,100.0,95.0,100.0,95.0
TCI,64.0,34.0,74.0,16.0,41.0,64.0,49.0,65.0,40.0,72.0,69.0,25.0
TVB,51.0,55.0,53.0,38.0,38.0,42.0,35.0,8.0,43.0,32.0,24.0,21.0
TVS,76.0,74.0,100.0,98.0,86.0,76.0,75.0,95.0,72.0,85.0,98.0,91.0
VCI,88.0,98.0,83.0,82.0,82.0,83.0,79.0,86.0,87.0,74.0,66.0,70.0
VDS,56.0,36.0,29.0,27.0,51.0,37.0,35.0,18.0,21.0,64.0,53.0,57.0
VFS,17.0,53.0,24.0,72.0,33.0,62.0,41.0,59.0,40.0,12.0,51.0,40.0
VIG,35.0,19.0,32.0,28.0,17.0,19.0,27.0,54.0,43.0,45.0,21.0,27.0
VIX,59.0,60.0,88.0,27.0,60.0,22.0,55.0,24.0,25.0,50.0,82.0,61.0
VND,92.0,100.0,100.0,92.0,91.0,95.0,99.0,100.0,100.0,89.0,100.0,96.0
WSS,8.0,,0.0,79.0,0.0,0.0,0.0,71.0,0.0,34.0,59.0,62.0
